state,city,slug,zips,max_cpl,population,mentor_score,status
MA,Framingham,ma/framingham,01702|01701,18.0,,,candidate
MA,Acton,ma/acton,01718|01720,18.0,,,candidate
MA,Boxborough,ma/boxborough,01719,18.0,,,candidate
MA,Ashland,ma/ashland,01721,18.0,,,candidate
MA,Bedford,ma/bedford,01730,18.0,,,candidate
MA,Hanscom Afb,ma/hanscom-afb,01731,18.0,,,candidate
MA,Carlisle,ma/carlisle,01741,18.0,,,candidate
MA,Concord,ma/concord,01742,18.0,,,candidate
MA,Fayville,ma/fayville,01745,18.0,,,candidate
MA,Holliston,ma/holliston,01746,18.0,,,candidate
MA,Hopkinton,ma/hopkinton,01748,18.0,,,candidate
MA,Hudson,ma/hudson,01749,18.0,,,candidate
MA,Marlborough,ma/marlborough,01752,18.0,,,candidate
MA,Maynard,ma/maynard,01754,18.0,,,candidate
MA,Natick,ma/natick,01760,18.0,,,candidate
MA,Sherborn,ma/sherborn,01770,18.0,,,candidate
MA,Southborough,ma/southborough,01772,18.0,,,candidate
MA,Lincoln,ma/lincoln,01773,18.0,,,candidate
MA,Stow,ma/stow,01775,18.0,,,candidate
MA,Sudbury,ma/sudbury,01776,18.0,,,candidate
MA,Wayland,ma/wayland,01778,18.0,,,candidate
MA,Woburn,ma/woburn,01801,18.0,,,candidate
MA,Burlington,ma/burlington,01803,18.0,,,candidate
