zip,city,state,ringba_offer_name,top_net_duration_payout,top_net_cpl_payout,last_updated
01702,Framingham,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01718,Acton,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01719,Boxborough,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01720,Acton,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01721,Ashland,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01730,Bedford,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01731,Hanscom Afb,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01741,Carlisle,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01742,Concord,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01745,Fayville,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01746,Holliston,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01748,Hopkinton,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01749,Hudson,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01752,Marlborough,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01754,Maynard,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01760,Natick,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01770,Sherborn,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01772,Southborough,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01773,Lincoln,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01775,Stow,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
01776,Sudbury,MA,Garage Door - Nationwide up to $80,,18.00,2026-09-22T14:01:12.672016+00:00
