rank,city,state,niche,payout_type,payout,avg_payout,zips,population,density,county,score
"1","Langhorne","PA","Garage Door","CPL","86","53.67","3","1657","1227","Bucks","115.24"
"2","Rural Hall","NC","Garage Door","CPL","74","74","4","3466","463","Forsyth","103.4"
"3","Doylestown","PA","Garage Door","CPL","86","86","2","2592","477","Bucks","89.06"
"4","Lithonia","GA","Garage Door","CPL","74","74","2","2622","1088","DeKalb","76.28"
"5","Mission","KS","Garage Door","CPL","77.5","77.5","4","9915","1437","Johnson","71.12"
"6","Farmersville","TX","Garage Door","CPL","81.5","81.5","2","4018","362","Collin","70.82"
"7","Jonesboro","GA","Garage Door","CPL","74","74","3","6143","792","Clayton","69.21"
"8","Martinsville","VA","Garage Door","CPL","85.5","82.63","4","13658","479","Martinsville","69.03"
"9","Stone Mountain","GA","Garage Door","CPL","74","74","3","6623","1553","DeKalb","67.16"
"10","Decatur","GA","Garage Door","CPL","74","74","7","24518","2051","DeKalb","66.14"
"11","Riverside","MO","Garage Door","CPL","78","78","2","4276","290","Platte","66.11"
"12","Montgomery","AL","Garage Door","CPL","74","74","30","254752","479","Montgomery","62.1"
"13","Cumming","GA","Garage Door","CPL","74","74","3","8469","402","Forsyth","60.87"
"14","Bensalem","PA","Garage Door","CPL","86","86","1","2251","1506","Bucks","59.61"
"15","Bristol","PA","Garage Door","CPL","86","86","1","2358","602","Bucks","59.61"
"16","Coopersburg","PA","Garage Door","CPL","86","86","1","2495","987","Lehigh","59.61"
"17","Dublin","PA","Garage Door","CPL","86","86","1","2164","1400","Bucks","59.61"
"18","Ferndale","PA","Garage Door","CPL","86","86","1","1517","1523","Cambria","59.61"
"19","Milford Square","PA","Garage Door","CPL","86","86","1","1312","534","Bucks","59.61"
"20","Rancho Santa Fe","CA","Garage Door","CPL","86","86","1","2260","148","San Diego","59.61"
"21","Richlandtown","PA","Garage Door","CPL","86","86","1","1209","1175","Bucks","59.61"
"22","Trabuco Canyon","CA","Garage Door","CPL","86","86","1","1326","73","Orange","59.61"
"23","Trumbauersville","PA","Garage Door","CPL","86","86","1","772","899","Bucks","59.61"
"24","Marietta","GA","Garage Door","CPL","78","78","10","62263","1003","Cobb","59.48"
"25","Advance","NC","Garage Door","CPL","85.5","85.5","1","1408","83","Davie","59.26"
"26","Blanch","NC","Garage Door","CPL","85.5","85.5","1","2215","132","Caswell","59.26"
"27","Cooleemee","NC","Garage Door","CPL","85.5","85.5","1","988","505","Davie","59.26"
"28","Danbury","NC","Garage Door","CPL","85.5","85.5","1","197","121","Stokes","59.26"
"29","East Bend","NC","Garage Door","CPL","85.5","85.5","1","715","226","Yadkin","59.26"
"30","Germanton","NC","Garage Door","CPL","85.5","85.5","1","1087","188","Stokes","59.26"
"31","Madison","NC","Garage Door","CPL","85.5","85.5","1","2242","240","Rockingham","59.26"
"32","Manchaca","TX","Garage Door","CPL","85.5","85.5","1","2171","395","Travis","59.26"
"33","Mayodan","NC","Garage Door","CPL","85.5","85.5","1","2401","328","Rockingham","59.26"
"34","McLeansville","NC","Garage Door","CPL","85.5","85.5","1","688","47","Guilford","59.26"
"35","Pilot Mountain","NC","Garage Door","CPL","85.5","85.5","1","1483","300","Surry","59.26"
"36","Pinnacle","NC","Garage Door","CPL","85.5","85.5","1","540","45","Stokes","59.26"
"37","Ruffin","NC","Garage Door","CPL","85.5","85.5","1","423","43","Rockingham","59.26"
"38","Sedalia","NC","Garage Door","CPL","85.5","85.5","1","772","131","Guilford","59.26"
"39","Stoneville","NC","Garage Door","CPL","85.5","85.5","1","1094","328","Rockingham","59.26"
"40","Toast","NC","Garage Door","CPL","85.5","85.5","1","893","273","Surry","59.26"
"41","Walnut Cove","NC","Garage Door","CPL","85.5","85.5","1","2115","313","Stokes","59.26"
"42","White Plains","NC","Garage Door","CPL","85.5","85.5","1","795","84","Surry","59.26"
"43","Whitsett","NC","Garage Door","CPL","85.5","85.5","1","569","89","Guilford","59.26"
"44","Yanceyville","NC","Garage Door","CPL","85.5","85.5","1","2215","132","Caswell","59.26"
"45","Plumsteadville","PA","Garage Door","CPL","86","86","1","2592","477","Bucks","58.75"
"46","New Hope","PA","Garage Door","CPL","86","86","1","2622","797","Bucks","58.49"
"47","Jasper","AL","Garage Door","CPL","74","74","4","14442","190","Walker","58.43"
"48","Riverdale","GA","Garage Door","CPL","74","74","4","14792","1308","Clayton","57.87"
"49","Spicewood","TX","Garage Door","CPL","85.5","85.5","1","2735","646","Travis","57.17"
"50","Reidsville","NC","Garage Door","CPL","85.5","85.5","3","14585","379","Rockingham","56.58"
"51","Alamance","NC","Garage Door","CPL","81.5","81.5","1","1267","659","Alamance","56.49"
"52","Altamahaw","NC","Garage Door","CPL","81.5","81.5","1","491","162","Alamance","56.49"
"53","Amo","IN","Garage Door","CPL","81.5","81.5","1","417","269","Hendricks","56.49"
"54","Archie","MO","Garage Door","CPL","81.5","81.5","1","1322","345","Cass","56.49"
"55","Blue Ridge","TX","Garage Door","CPL","81.5","81.5","1","1104","348","Collin","56.49"
"56","Clayton","IN","Garage Door","CPL","81.5","81.5","1","818","519","Hendricks","56.49"
"57","Cleveland","MO","Garage Door","CPL","81.5","81.5","1","968","248","Cass","56.49"
"58","Clifford","IN","Garage Door","CPL","81.5","81.5","1","165","229","Bartholomew","56.49"
"59","Coal City","IN","Garage Door","CPL","81.5","81.5","1","161","131","Owen","56.49"
"60","Coatesville","IN","Garage Door","CPL","81.5","81.5","1","566","337","Hendricks","56.49"
"61","Creighton","MO","Garage Door","CPL","81.5","81.5","1","302","521","Cass","56.49"
"62","Drexel","MO","Garage Door","CPL","81.5","81.5","1","924","147","Cass","56.49"
"63","East Lynne","MO","Garage Door","CPL","81.5","81.5","1","155","349","Cass","56.49"
"64","Elizabethtown","IN","Garage Door","CPL","81.5","81.5","1","372","650","Bartholomew","56.49"
"65","Freeman","MO","Garage Door","CPL","81.5","81.5","1","690","257","Cass","56.49"
"66","Garden City","MO","Garage Door","CPL","81.5","81.5","1","1742","240","Cass","56.49"
"67","Gosport","IN","Garage Door","CPL","81.5","81.5","1","1303","472","Owen","56.49"
"68","Grammer","IN","Garage Door","CPL","81.5","81.5","1","336","75","Bartholomew","56.49"
"69","Hartsville","IN","Garage Door","CPL","81.5","81.5","1","277","277","Bartholomew","56.49"
"70","Hope","IN","Garage Door","CPL","81.5","81.5","1","2029","806","Bartholomew","56.49"
"71","Jonesville","IN","Garage Door","CPL","81.5","81.5","1","129","264","Bartholomew","56.49"
"72","Lizton","IN","Garage Door","CPL","81.5","81.5","1","543","327","Hendricks","56.49"
"73","Nevada","TX","Garage Door","CPL","81.5","81.5","1","1319","209","Collin","56.49"
"74","North Salem","IN","Garage Door","CPL","81.5","81.5","1","741","725","Hendricks","56.49"
"75","Overbrook","KS","Garage Door","CPL","81.5","81.5","1","1113","720","Osage","56.49"
"76","Patricksburg","IN","Garage Door","CPL","81.5","81.5","1","356","227","Owen","56.49"
"77","Poland","IN","Garage Door","CPL","81.5","81.5","1","81","68","Clay","56.49"
"78","Quincy","IN","Garage Door","CPL","81.5","81.5","1","216","80","Morgan","56.49"
"79","Spencer","IN","Garage Door","CPL","81.5","81.5","1","2481","522","Owen","56.49"
"80","Stilesville","IN","Garage Door","CPL","81.5","81.5","1","296","351","Hendricks","56.49"
"81","Strasburg","MO","Garage Door","CPL","81.5","81.5","1","135","188","Cass","56.49"
"82","Taylorsville","IN","Garage Door","CPL","81.5","81.5","1","1248","355","Bartholomew","56.49"
"83","Weston","TX","Garage Door","CPL","81.5","81.5","1","284","19","Collin","56.49"
"84","Greensboro","NC","Garage Door","CPL","85.5","85.5","24","342060","858","Guilford","55.78"
"85","Ponder","TX","Garage Door","CPL","81.5","81.5","1","2626","289","Denton","55.39"
"86","Fort Worth","TX","Garage Door","CPL","81.5","81.5","51","963194","1033","Tarrant","55.23"
"87","Yadkinville","NC","Garage Door","CPL","85.5","85.5","1","3004","393","Yadkin","55.07"
"88","Birmingham","AL","Garage Door","CPL","74","74","51","773997","523","Jefferson","54.74"
"89","Coupland","TX","Garage Door","CPL","78","78","1","491","92","Williamson","54.07"
"90","Farley","MO","Garage Door","CPL","78","78","1","309","88","Platte","54.07"
"91","Florence","TX","Garage Door","CPL","78","78","1","1061","514","Williamson","54.07"
"92","Granger","TX","Garage Door","CPL","78","78","1","1046","588","Williamson","54.07"
"93","Levasy","MO","Garage Door","CPL","78","78","1","104","82","Jackson","54.07"
"94","Lone Jack","MO","Garage Door","CPL","78","78","1","1412","97","Jackson","54.07"
"95","Sibley","MO","Garage Door","CPL","78","78","1","369","147","Jackson","54.07"
"96","Thrall","TX","Garage Door","CPL","78","78","1","861","748","Williamson","54.07"
"97","Weir","TX","Garage Door","CPL","78","78","1","434","101","Williamson","54.07"
"98","Wallburg","NC","Garage Door","CPL","85.5","85.5","1","3150","214","Davidson","54.03"
"99","Austin","TX","Garage Door","CPL","85.5","85.13","72","1940039","1145","Travis","53.86"
"100","Haw River","NC","Garage Door","CPL","81.5","81.5","1","2824","322","Alamance","53.8"
"101","Edgerton","KS","Garage Door","CPL","77.5","77.5","1","1924","80","Johnson","53.72"
"102","Kansas City","KS","Garage Door","CPL","78.5","78.5","15","155135","479","Wyandotte","53"
"103","Auburntown","TN","Garage Door","CPL","75","75","1","318","218","Cannon","51.99"
"104","Charlotte","TN","Garage Door","CPL","75","75","1","2164","177","Dickson","51.99"
"105","Easton","KS","Garage Door","CPL","75","75","1","299","260","Leavenworth","51.99"
"106","Linwood","KS","Garage Door","CPL","75","75","1","312","208","Leavenworth","51.99"
"107","Pegram","TN","Garage Door","CPL","75","75","1","2089","118","Cheatham","51.99"
"108","Whitesburg","GA","Garage Door","CPL","75","75","1","525","61","Carroll","51.99"
"109","Lawrenceville","GA","Garage Door","CPL","78","78","5","30954","857","Gwinnett","51.9"
"110","Welcome","NC","Garage Door","CPL","85.5","85.5","1","3521","151","Davidson","51.68"
"111","Adams","TN","Garage Door","CPL","74","74","1","888","106","Robertson","51.29"
"112","Addyston","OH","Garage Door","CPL","74","74","1","904","393","Hamilton","51.29"
"113","Adger","AL","Garage Door","CPL","74","74","1","129","97","Jefferson","51.29"
"114","Adrian","MO","Garage Door","CPL","74","74","1","1857","463","Bates","51.29"
"115","Advance","IN","Garage Door","CPL","74","74","1","390","274","Boone","51.29"
"116","Altoona","AL","Garage Door","CPL","74","74","1","1252","102","Etowah","51.29"
"117","Arcadia","IN","Garage Door","CPL","74","74","1","1556","1189","Hamilton","51.29"
"118","Ashville","AL","Garage Door","CPL","74","74","1","2464","55","St. Clair","51.29"
"119","Atlanta","IN","Garage Door","CPL","74","74","1","816","632","Hamilton","51.29"
"120","Autaugaville","AL","Garage Door","CPL","74","74","1","809","55","Autauga","51.29"
"121","Avoca","IN","Garage Door","CPL","74","74","1","439","63","Lawrence","51.29"
"122","Axton","VA","Garage Door","CPL","74","74","1","1563","108","Henry","51.29"
"123","Bainbridge","IN","Garage Door","CPL","74","74","1","605","533","Putnam","51.29"
"124","Bethlehem","GA","Garage Door","CPL","74","74","1","707","99","Barrow","51.29"
"125","Billingsley","AL","Garage Door","CPL","74","74","1","115","23","Autauga","51.29"
"126","Boggstown","IN","Garage Door","CPL","74","74","1","597","87","Shelby","51.29"
"127","Bon Air","AL","Garage Door","CPL","74","74","1","141","34","Talladega","51.29"
"128","Bucyrus","KS","Garage Door","CPL","74","74","1","168","3","Miami","51.29"
"129","California","KY","Garage Door","CPL","74","74","1","49","230","Campbell","51.29"
"130","Camp Dennison","OH","Garage Door","CPL","74","74","1","265","216","Hamilton","51.29"
"131","Carrollton","IN","Garage Door","CPL","74","74","1","267","149","Hancock","51.29"
"132","Castalian Springs","TN","Garage Door","CPL","74","74","1","678","43","Sumner","51.29"
"133","Cedar Hill","TN","Garage Door","CPL","74","74","1","395","232","Robertson","51.29"
"134","Chapel Hill","TN","Garage Door","CPL","74","74","1","1712","154","Marshall","51.29"
"135","Charlottesville","IN","Garage Door","CPL","74","74","1","398","248","Hancock","51.29"
"136","Cloverdale","IN","Garage Door","CPL","74","74","1","2195","246","Putnam","51.29"
"137","Coker","AL","Garage Door","CPL","74","74","1","1058","228","Tuscaloosa","51.29"
"138","Coosada","AL","Garage Door","CPL","74","74","1","1105","59","Elmore","51.29"
"139","Cottontown","TN","Garage Door","CPL","74","74","1","374","37","Sumner","51.29"
"140","Cross Plains","TN","Garage Door","CPL","74","74","1","1922","80","Robertson","51.29"
"141","Deatsville","AL","Garage Door","CPL","74","74","1","2097","210","Elmore","51.29"
"142","Driftwood","TX","Garage Door","CPL","74","74","1","28","42","Hays","51.29"
"143","Eagleville","TN","Garage Door","CPL","74","74","1","999","113","Rutherford","51.29"
"144","Eclectic","AL","Garage Door","CPL","74","74","1","1141","113","Elmore","51.29"
"145","Elmore","AL","Garage Door","CPL","74","74","1","1517","91","Elmore","51.29"
"146","Emerson","GA","Garage Door","CPL","74","74","1","1573","76","Bartow","51.29"
"147","Eminence","IN","Garage Door","CPL","74","74","1","216","80","Morgan","51.29"
"148","Equality","AL","Garage Door","CPL","74","74","1","93","10","Coosa","51.29"
"149","Fairland","IN","Garage Door","CPL","74","74","1","660","212","Shelby","51.29"
"150","Fairmount","GA","Garage Door","CPL","74","74","1","1279","258","Gordon","51.29"
"151","Fayetteville","OH","Garage Door","CPL","74","74","1","324","230","Brown","51.29"
"152","Fieldale","VA","Garage Door","CPL","74","74","1","783","199","Henry","51.29"
"153","Fillmore","IN","Garage Door","CPL","74","74","1","895","151","Putnam","51.29"
"154","Flat Rock","IN","Garage Door","CPL","74","74","1","121","192","Shelby","51.29"
"155","Fontana","KS","Garage Door","CPL","74","74","1","409","192","Miami","51.29"
"156","Fort Deposit","AL","Garage Door","CPL","74","74","1","1525","106","Lowndes","51.29"
"157","Fountaintown","IN","Garage Door","CPL","74","74","1","119","60","Shelby","51.29"
"158","Franklinville","NC","Garage Door","CPL","74","74","1","1131","258","Randolph","51.29"
"159","Gallant","AL","Garage Door","CPL","74","74","1","1081","33","Etowah","51.29"
"160","Garden City","AL","Garage Door","CPL","74","74","1","557","98","Cullman","51.29"
"161","Goshen","OH","Garage Door","CPL","74","74","1","759","189","Clermont","51.29"
"162","Gwynneville","IN","Garage Door","CPL","74","74","1","198","182","Shelby","51.29"
"163","Hamersville","OH","Garage Door","CPL","74","74","1","918","623","Brown","51.29"
"164","Harpersville","AL","Garage Door","CPL","74","74","1","1788","29","Shelby","51.29"
"165","Harrodsburg","IN","Garage Door","CPL","74","74","1","298","28","Monroe","51.29"
"166","Hayden","AL","Garage Door","CPL","74","74","1","1389","131","Blount","51.29"
"167","Hayneville","AL","Garage Door","CPL","74","74","1","716","186","Lowndes","51.29"
"168","Helmsburg","IN","Garage Door","CPL","74","74","1","387","98","Brown","51.29"
"169","Heltonville","IN","Garage Door","CPL","74","74","1","11","61","Lawrence","51.29"
"170","Hillsdale","KS","Garage Door","CPL","74","74","1","117","29","Miami","51.29"
"171","Hollins","AL","Garage Door","CPL","74","74","1","465","20","Clay","51.29"
"172","Hooven","OH","Garage Door","CPL","74","74","1","403","72","Hamilton","51.29"
"173","Huron","IN","Garage Door","CPL","74","74","1","237","225","Lawrence","51.29"
"174","Hurtsboro","AL","Garage Door","CPL","74","74","1","421","212","Russell","51.29"
"175","Jamestown","IN","Garage Door","CPL","74","74","1","1107","495","Boone","51.29"
"176","Jasonville","IN","Garage Door","CPL","74","74","1","1979","691","Greene","51.29"
"177","Jersey","GA","Garage Door","CPL","74","74","1","148","73","Walton","51.29"
"178","Kings Mills","OH","Garage Door","CPL","74","74","1","1175","370","Warren","51.29"
"179","Kingston","GA","Garage Door","CPL","74","74","1","993","285","Bartow","51.29"
"180","Kingsville","MO","Garage Door","CPL","74","74","1","360","264","Johnson","51.29"
"181","Lascassas","TN","Garage Door","CPL","74","74","1","113","15","Rutherford","51.29"
"182","Lecompton","KS","Garage Door","CPL","74","74","1","736","239","Douglas","51.29"
"183","Loachapoka","AL","Garage Door","CPL","74","74","1","223","74","Lee","51.29"
"184","Lowndesboro","AL","Garage Door","CPL","74","74","1","70","53","Lowndes","51.29"
"185","Lyons","IN","Garage Door","CPL","74","74","1","920","413","Greene","51.29"
"186","Maineville","OH","Garage Door","CPL","74","74","1","2070","522","Warren","51.29"
"187","Maplesville","AL","Garage Door","CPL","74","74","1","1200","91","Chilton","51.29"
"188","Marbury","AL","Garage Door","CPL","74","74","1","1570","27","Autauga","51.29"
"189","Maxwell","IN","Garage Door","CPL","74","74","1","413","179","Hancock","51.29"
"190","McLouth","KS","Garage Door","CPL","74","74","1","864","597","Jefferson","51.29"
"191","Melbourne","KY","Garage Door","CPL","74","74","1","627","249","Campbell","51.29"
"192","Miamitown","OH","Garage Door","CPL","74","74","1","1169","273","Hamilton","51.29"
"193","Miamiville","OH","Garage Door","CPL","74","74","1","97","298","Clermont","51.29"
"194","Midland","IN","Garage Door","CPL","74","74","1","159","79","Greene","51.29"
"195","Monrovia","IN","Garage Door","CPL","74","74","1","2055","450","Morgan","51.29"
"196","Morgantown","IN","Garage Door","CPL","74","74","1","1308","959","Morgan","51.29"
"197","Morristown","IN","Garage Door","CPL","74","74","1","1134","100","Shelby","51.29"
"198","Moscow","OH","Garage Door","CPL","74","74","1","147","34","Clermont","51.29"
"199","Mount Berry","GA","Garage Door","CPL","74","74","1","1647","541","Floyd","51.29"
"200","Munford","AL","Garage Door","CPL","74","74","1","1508","247","Talladega","51.29"
"201","Nashville","IN","Garage Door","CPL","74","74","1","1386","342","Brown","51.29"
"202","Nelson","GA","Garage Door","CPL","74","74","1","1166","244","Cherokee","51.29"
"203","Newberry","IN","Garage Door","CPL","74","74","1","121","95","Greene","51.29"
"204","Nineveh","IN","Garage Door","CPL","74","74","1","559","338","Johnson","51.29"
"205","North Bend","OH","Garage Door","CPL","74","74","1","1148","385","Hamilton","51.29"
"206","Notasulga","AL","Garage Door","CPL","74","74","1","1050","30","Macon","51.29"
"207","Ohatchee","AL","Garage Door","CPL","74","74","1","1148","69","Calhoun","51.29"
"208","Oolitic","IN","Garage Door","CPL","74","74","1","1522","846","Lawrence","51.29"
"209","Owensburg","IN","Garage Door","CPL","74","74","1","447","48","Greene","51.29"
"210","Owensville","OH","Garage Door","CPL","74","74","1","620","480","Clermont","51.29"
"211","Oxford","GA","Garage Door","CPL","74","74","1","1770","349","Newton","51.29"
"212","Paragon","IN","Garage Door","CPL","74","74","1","537","729","Morgan","51.29"
"213","Patrick Springs","VA","Garage Door","CPL","74","74","1","2223","52","Patrick","51.29"
"214","Perry","KS","Garage Door","CPL","74","74","1","1069","559","Jefferson","51.29"
"215","Petersburg","KY","Garage Door","CPL","74","74","1","771","33","Boone","51.29"
"216","Pine Lake","GA","Garage Door","CPL","74","74","1","882","1515","DeKalb","51.29"
"217","Plainville","GA","Garage Door","CPL","74","74","1","360","181","Gordon","51.29"
"218","Pleasant Plain","OH","Garage Door","CPL","74","74","1","190","277","Warren","51.29"
"219","Porterdale","GA","Garage Door","CPL","74","74","1","1466","210","Newton","51.29"
"220","Putnamville","IN","Garage Door","CPL","74","74","1","1959","396","Putnam","51.29"
"221","Ranger","GA","Garage Door","CPL","74","74","1","134","34","Gordon","51.29"
"222","Rantoul","KS","Garage Door","CPL","74","74","1","130","190","Franklin","51.29"
"223","Ridgetop","TN","Garage Door","CPL","74","74","1","1995","281","Robertson","51.29"
"224","Ridgeway","VA","Garage Door","CPL","74","74","1","1051","437","Henry","51.29"
"225","Roachdale","IN","Garage Door","CPL","74","74","1","971","586","Putnam","51.29"
"226","Rockford","AL","Garage Door","CPL","74","74","1","622","91","Coosa","51.29"
"227","Rockvale","TN","Garage Door","CPL","74","74","1","1611","112","Rutherford","51.29"
"228","Russellville","IN","Garage Door","CPL","74","74","1","308","236","Putnam","51.29"
"229","Scotland","IN","Garage Door","CPL","74","74","1","53","43","Greene","51.29"
"230","Shannon","GA","Garage Door","CPL","74","74","1","2012","125","Floyd","51.29"
"231","Sharpsburg","GA","Garage Door","CPL","74","74","1","309","134","Coweta","51.29"
"232","Shelby","AL","Garage Door","CPL","74","74","1","809","14","Shelby","51.29"
"233","Shorter","AL","Garage Door","CPL","74","74","1","404","28","Macon","51.29"
"234","Silver Grove","KY","Garage Door","CPL","74","74","1","1008","370","Campbell","51.29"
"235","Sipsey","AL","Garage Door","CPL","74","74","1","288","227","Walker","51.29"
"236","Solsberry","IN","Garage Door","CPL","74","74","1","184","77","Greene","51.29"
"237","Spencer","VA","Garage Door","CPL","74","74","1","2236","88","Henry","51.29"
"238","Springville","IN","Garage Door","CPL","74","74","1","447","48","Greene","51.29"
"239","Stanford","IN","Garage Door","CPL","74","74","1","472","102","Monroe","51.29"
"240","Stanleytown","VA","Garage Door","CPL","74","74","1","1386","183","Henry","51.29"
